key,value,date
Drama,37092702,2016
Drama,29466627,2015
Drama,29422218,2014
Drama,24862428,2013
Drama,40818146,2012
Drama,22291850,2011
Drama,23419909,2010
Drama,24106042,2009
Drama,33487319,2008
Drama,25629979,2007
Drama,23604317,2006
Drama,25758113,2005
Drama,21460685,2004
Drama,30020780,2003
Drama,29718914,2002
Drama,30078068,2001
Drama,33705753,2000
Drama,27238031,1999
Drama,32200994,1998
Drama,40586153,1997
Drama,32805538,1996
Drama,38487406,1995
Drama,68263544,1994
Drama,45576688,1993
Drama,49560772,1992
Drama,43198991,1991
Drama,77779806,1990
Drama,47007776,1989
Drama,40719602,1988
Drama,52654860,1987
Comedy,71109571,2016
Comedy,61955070,2015
Comedy,51839961,2014
Comedy,48881657,2013
Comedy,41224980,2012
Comedy,45097005,2011
Comedy,40179550,2010
Comedy,36910190,2009
Comedy,38431656,2008
Comedy,44797911,2007
Comedy,39461606,2006
Comedy,39804162,2005
Comedy,40449559,2004
Comedy,48583711,2003
Comedy,42460460,2002
Comedy,36502102,2001
Comedy,41317465,2000
Comedy,34500533,1999
Comedy,35572705,1998
Comedy,36103505,1997
Comedy,29589847,1996
Comedy,37960493,1995
Comedy,52314471,1994
Comedy,39927759,1993
Comedy,82312423,1992
Comedy,47184561,1991
Comedy,74864056,1990
Comedy,50353800,1989
Comedy,56973027,1988
Comedy,48159895,1987
Thriller,37060625,2016
Thriller,38106088,2015
Thriller,32273495,2014
Thriller,43249537,2013
Thriller,51997331,2012
Thriller,32757054,2011
Thriller,35785189,2010
Thriller,30454815,2009
Thriller,39496358,2008
Thriller,32592085,2007
Thriller,38437925,2006
Thriller,36428108,2005
Thriller,42976498,2004
Thriller,38550425,2003
Thriller,39864681,2002
Thriller,48953392,2001
Thriller,47692794,2000
Thriller,36949358,1999
Thriller,48408100,1998
Thriller,46247592,1997
Thriller,49331444,1996
Thriller,46170001,1995
Thriller,57203755,1994
Thriller,73680581,1993
Thriller,48465907,1992
Thriller,47064235,1991
Thriller,112591260,1990
Thriller,38467949,1989
Thriller,31064764,1988
Thriller,44658399,1987
Action,72875795,2016
Action,62767184,2015
Action,73171739,2014
Action,64138966,2013
Action,93160481,2012
Action,61948677,2011
Action,62807400,2010
Action,72136408,2009
Action,82286009,2008
Action,84299534,2007
Action,74186581,2006
Action,57448291,2005
Action,62561274,2004
Action,85403954,2003
Action,74268428,2002
Action,68036684,2001
Action,65358628,2000
Action,72792110,1999
Action,57853513,1998
Action,57560135,1997
Action,69817445,1996
Action,53634634,1995
Action,52526810,1994
Action,38359310,1993
Action,72770674,1992
Action,55060328,1991
Action,82974265,1990
Action,63479313,1989
Action,40810827,1988
Action,38601884,1987
Romance,72203090,2016
Romance,34877035,2015
Romance,33959590,2014
Romance,23649948,2013
Romance,42131395,2012
Romance,32587873,2011
Romance,39351302,2010
Romance,31383319,2009
Romance,42258483,2008
Romance,36763917,2007
Romance,28717629,2006
Romance,42476709,2005
Romance,36773595,2004
Romance,34359964,2003
Romance,35129329,2002
Romance,34403438,2001
Romance,39699245,2000
Romance,28435489,1999
Romance,42930148,1998
Romance,72377600,1997
Romance,38482822,1996
Romance,30659400,1995
Romance,31364038,1994
Romance,40162570,1993
Romance,69359969,1992
Romance,53703988,1991
Romance,74622153,1990
Romance,33979132,1989
Romance,42203197,1988
Romance,63544700,1987
Adventure,101171333,2016
Adventure,110377932,2015
Adventure,110438819,2014
Adventure,109427354,2013
Adventure,152555987,2012
Adventure,82620458,2011
Adventure,125748162,2010
Adventure,112243642,2009
Adventure,72566266,2008
Adventure,111352375,2007
Adventure,76958658,2006
Adventure,85299906,2005
Adventure,82775617,2004
Adventure,81310905,2003
Adventure,91552065,2002
Adventure,93389549,2001
Adventure,67920381,2000
Adventure,84113749,1999
Adventure,68087264,1998
Adventure,76211571,1997
Adventure,79297147,1996
Adventure,94729543,1995
Adventure,81261438,1994
Adventure,79228558,1993
Adventure,127222952,1992
Adventure,59158516,1991
Adventure,64583471,1990
Adventure,86033072,1989
Adventure,52778667,1988
Adventure,21472801,1987
